document_id,clean_text,sentiment
1,detective batman peak great storyline dark universe weve come expect dc gloomy gritty dark tone film exactly wanted think movie there beautiful cinematography great score,Positive
2,got batmanthis movie really wont everyone easily darkest batman movie yet gritty depressing fun movie allthis isnt usual comic book movie detective movie common seen previous batman movie first two third movie amazing one point turned son said masterpiece everything work brilliant enthralled boy drop ball final actof cast pattinson great collin farrell ok zoe kravitz fine zero chemistry pattinson keaton pfeiffer paul dano though incredible especially scene arkham whilst geoffrey wright great always ison downside pacing issue really long though im sure id cut really wasnt keen ending dont know comic book storyline think final act really let movie final act feel movie run timei surprised people screening,Neutral
3,serial killer strike gotham city killing important political figure leaving behind series cryptic clue batman stop himits certainly different previous batman film definitely dark atmospheric pitch narrative different batman told almost crime noir made way could watch black white enjoy different perspectiveinteresting real exploration character past family get sense batman hauntedi wasnt blown away heard robert pattinson cast batman vengeance quickly clearly penned character weight world shoulder incarnation dark haunted relentless strong determined dont expect laugh lighter moment arent anyandy serkis awesome always thought colin farrell paul dano great toogreat visuals throughout gotham look terrific terrific special effect duff one think pattinson looked awesome costume well designedthe music fantastic thought one movie best element interesting seeing much carnage played ave maria real juxtapositioni wish could say without flaw epic imaginative reimagining one deserved success however pacing issue feel long sake long time scene painfully drawn dialogue hard make time little muffledwhat really didnt like though ending knock couple star rating didnt workinteresting see come next imaginative retelling,Positive
4,absolutely fizzing see batman day announced even first heard described inspired seen one favourite psychological thriller time finally going get raw gritty batman film id always dreamed seeing certainly werewhere begin biggest thing struck film much time got spend batman batman little bruce wayne movie im absolutely fine movie batman story start finish even get narration im quite sure feel yet good narration im sure he character want fromthe riddler movie phenomenal joker dark knight absolutely second favourite batman film villain clearly inspired zodiac killer inspired choice also use riddle film nothing short genius clever riddle puzzle make batman serious detective work something ive always wanted previous filmsthis favourite incarnation catwoman date havent loved character place film past ive found slows everything brings dull side batman havent enjoyed film though used perfectly shes love interest villainantihero one massive save another thing often bog batman film pointless love interestthe penguin probably one letdown id seen trailer suspected may case im wondering using movie setup second film evolve lot one though found quite dull screenpresencerobert pattinson batman blew away looked great voice perfect extremely intense menacing even though knew capable playing role think still needed see end product confirmation take absolutely somethe film quite unique feel scene sequence film would feel place tim burton batman universe christopher nolans universe little aspect respective film clearly inspired part batman basically took best thing twisted style obviously adding lot stuff also well done sensethe batmobile movie awesome there way put sound made vibration sent cinema chair bonechilling chase sequence movie penguin one best ive ever seenthe film long hour really never feel like there short period middle movie everything slows little really flat part movie however rest happens breakneck paceits hard find enough good thing say movie need see digest couple thing little longer firmly sitting second place behind dark knight order favourite batman film,Positive
5,riddlerpaul dano spoton take long get role like target public official revealing corruption killing gruesome fashionhow get away pg oh right long dont show detail get away almost anything even barely toned jigsaw order stop necessary bat catwith amazing chemistry together stop rat thanks matti really think needed yet another film dealing bruce wayne alterego nightwing know likely part still hold hope grayson turned featureif youve never checked trailer youtube youre missing somehow managed convince finger crossed least one sequel robert pattinson incredible seriously stop freaking every time role recast closest weve come someone shouldnt george clooney like anybody came flick looking good took job dusk till dawn good reason think going badass honestly everyone give strong performancesomething definitely appeal others genre tone essentially seen meet zodiac paced like typical massive blockbuster action great especially martial art mention car chase there le smaller scale example nolan trilogywhich also far escalation essentially isnt focused much aspect titular icon think agree weve great entry deliver interested conveying audience there reason he called world greatest detective weve barely seen outside animated one im happy choice themin addition ive already mentioned feature drug suggestive material strong language recommend fan batman,Positive
6,matt reef batman hell movie darkest live action batman movie ever made longest one batman fill top notch action sequence exciting cinematic cinematography incredible michael giacchino batman theme song become one favorite movie theme song ever enduringly great action perfect without theme making even perfect theme background especially batman show really making hyped colin farrell transformation amazing performance penguin paul dano performance giving heath ledger joker vibe trying heath ledger joker still great paul dano riddler still terrifying disturbing villain zoe kravits performance catwoman amazing though wild michelle pfeiffer batman return boy gesture look wild michelle pfeiffer catwoman fighting sequence definitely win zoe still like lot end got batman robert pattinson say batman hope everybody starting know guy play batman really good movie guy play horrible twilight film anymore indeed awesome batman become second favorite batman next christian bale number one still story batman great problem movie quite lot particular scene slow slow boring feel like make little bit faster one two three scene probably still forgive unfortunately happens end batman still hell great movie still amazing still incredible impress thing happens excited hyped stunt amazing thing theyve done batman fire,Positive
7,star rating brilliant good okay poor awfulgotham city rocked series murder key political figure sadistic killer calling riddler paul dano hold city ransom revealing darkly guarded secret threatening mayhem stopped batman robert pattinson alter ego millionaire bruce wayne start investigation crossing path woman called selina kyle zoe kravitz operates catwoman want find happened friend set collision course darkest element gothams underworld including notorious gangster penguin unrecognisable colin farrell crime bos carmine falcone john turturro may sitting devastating secret could shatter livesthe batman series must one enduringly successful franchise world comic book film appearing various different incarnation since original creation writerdirector matt reef delivers mammoth three hour long interpretation character many seem hailing best ever le doesnt seem anymore least cinema artiste end see film drowning indulgencereeves obviously keen maintain bleak heavy tone established christopher nolan gotham city seemingly endless heavy rain gloomy sky set pattinsons dark brooding stare gravelly voiceovers set background emo rock soundtrack one many thing ripe parody film take much seriously feel almost devoid humour light even overdone danos dark riddler operating garish gimp suit look ridiculous thrown topical social justice speech litter film tv today kravitzs catwoman even praising sinister villain meant hate one point killing white privileged aholes trying cram whole load egg one basket ambitious overlong time main villain grand master plan end youre overwhelmed bored careeveryone else think like personally one pretentious batman ever might bit bearable le self indulgent least old fashioned lawrence arabia style intermission point,Neutral
8,everything movie trying hard dramatic score long shot character face overacting complex crime story feel like trying get oscar every momentits overly long drawn story feel like generic crime saga batman universe shoehorned itthis movie masterpiece spends lot effort making think,Negative
9,im sure begin dont generally want spoil reveals big twist film anticlimactic batman matt reef seemed borrow bigger book batman year one hush batman long halloween reef also leaned heavily onto film french connection zodiac noir classic chinatown general feel movie sought relate batman detective role he famous comic unfortunately ignores attempt batman level crime mysterythe acting really good there great cast professional film although robert patterson isnt allowed range emotion bruce wayne batman completely indistinguishable tired emokid walk life severe lethargy colin farrell unrecognizable penguin dare say gave greatest performance life large portion film writing semiorigin story oswald cobblepot rise become gothams crime bos lot villain origin story batman character basically introduced way batman year two thought mistake year one batman would wonderful screen audience seeing bruce wayne learning use fear early day would relief movie everyone scared plot device zoe kravitzs performance selena kyle becoming cat woman underdeveloped much fun watch batman id like see spinoff standalone cat woman release jeffery wright brilliant course even remaining quiet batman background pulled attention onto mostly pattersons portrayal incredibly stiff paul dano riddler exactly wanted see movie character reached new level applause serial killer saddly part plot put back burner lackluster crime drama carmine falcone john turturro great crime bos falcone plot focused long side story rather offering clue killing dragged long bored completely went batman see match wit clever serial killer reeducated connection thomas wayne carmine falcone againthe action sequence car chase fight choreography seemed old fashioned way knew hand reef lifted older better known film dropped budget scene batman racing catch penguin old muscle car batmobile versus im guessing buick laughing chase scene presented seriousness maybe penguin expensive italian sport car might enjoyed literally suppedup car desperately trying pace mom car fighting dull hand hand combat one first thing bruce wayne learns donning cowl movie batman throwing punch newly trained boxer would scoff much scene empty devoid thrill chill wondered editor wasthe batman simply long ridiculous attempt impress fan significance fails cohesive storytelling basically pat back throughout unnecessary musical score unlike dark knight wont watch,Negative
10,headline taken two way remove hype expectation saying good movie positive hoping amazing new batman iteration good mean wasnt great let alone amazingthis review come negative enjoy love tone super dark grounded reality even nolan trilogy feel true character zoe kravitz jeffrey wright great casting choice mostly wellmade film good addition franchise bat suit look awesomeat time nothing movie wowed connect character especially villain relationship seem undeveloped organic nearly emotionally invested story mostly feel surface levelif youre huge batman fan think really enjoy movie dont think fire cylinder nolan trilogy still reign supreme viewing fan early screening,Neutral
